id,fiscalyear,Climate change,Climate adaptation,Climate mitigation,text,pred
P161329,2018,0.0,0.0,0.0,"West Africa Unique Identification for Regional Integration and Inclusion (WURI) Program The Program Development Objective (Pr.DO) is to increase the number of persons in participating countries who have government-recognized proof of unique identity that facilitates access to services.    The Project Development Objective (PDO) for Phase 1 of the Project is to increase the number of persons in Côte d’Ivoire and Guinea who have government-recognized proof of unique identity that facilitates access to services. The development objective of West Africa Unique Identification for Regional Integration and Inclusion Project is to increase the number of persons in Côte d’Ivoire and Guinea who have government-recognized proof of unique identity that facilitates their access to services. This project has three components. 1) The first component, Strengthening the Legal and Institutional Framework, the MPA aims to finance the preparation, development and implementation of the legal and institutional framework necessary to structure robust fID systems. 2) The second component, Establishing Robust and Inclusive fID Systems, aims  to support the creation of fID systems based on the issuance of UNIs linked to biometric data, which will be collected in accordance with international quality standards. 3) The third component, Facilitating Access to Services Through fIDs, aims to focus on service delivery at both the national and regional levels.",-0.50068456
P164563,2019,0.17,0.14,0.03,"Niger Refugees and Host Communities Support Project The project development objective is to improve access to basic services and economic opportunities for refugees and host communities in select areas of the Republic of Niger. The objective of the Niger Refugees and Host Communities Support Project is to improve access to basic services and economic opportunities for refuges and host communities in select areas in the Republic of Niger. There are four components to the project, the first component being community infrastructure for improved access to basic public services. This component will finance labor intensive, small scale infrastructure rehabilitation and construction provided, through the contracting of local private sector construction firms and temporary employment opportunities for beneficiaries. The second component is the support to economic opportunities. The objective of the component is to improve access to economic opportunities for forcibly displaced and host communities in selected project areas. The third component is the coordination and institutional development. The component will finance capacity building of local and regional authorities (municipal councils, regional councils and the decentralized technical services) and central government authorities to strengthen their ability to manage current and future crises as well as engage in recovery planning. Finally, the fourth component is the project management.",-0.37768647
P173178,2022,0.0,0.0,0.0,"Managing Public Resources for Service Delivery The Project Development Objective (PDO) is to improve domestic tax management, budget execution, and transparency and accountability in the management of public resources. The development objective of the Managing Public Resources for Service Delivery Project for Mozambique is to improve domestic tax management, budget execution, and transparency and accountability in the management of public resources. The project comprises of five components. The first component is strengthening domestic tax management. It consists of following sub-components: (i) reinforcing tax administration; and (ii) incentives for strengthening domestic revenue management. The second component is enhancing public expenditure management and control. It consists of following sub-components: (i) institutional capacity building for the Ministry of Economy and Finance (MEF); (ii) strengthening internal audit arrangements; and (iii) incentives for improved expenditure management and control. The third component is improving independent external oversight. It consists of following sub-components: (i) support for external audit; (ii) enhancing social accountability and citizen engagement; and (iii) strengthening state-owned enterprise (SOE) oversight. The fourth component is project management. The project will also hire an independent verification agent for the purpose of certifying the achievement of the performance-based condition (PBC) targets annually. The fifth component, contingency emergency response component (CERC) will facilitate access to rapid financing by reallocating uncommitted project funds in the event of a natural disaster, either by a formal declaration of a national or regional emergency or upon a formal request from the Government of Mozambique (GoM).",-0.52206975
P166820,2021,0.47,0.47,0.0,"Fourth Phase of the Central Asia Regional Links Program The Project development objectives of the Fourth Phase of the Central Asia Regional Links Program are to enhance the efficiency of cross-border trade for participants of the regional economy and to improve the resilience and safety of regional connectivity infrastructure in Sughd region and Gorno-Badakhshan Autonomous region.

The project contributes to the Central Asia Regional Links Programs higher-level development objectives of increasing cross-border connectivity and enhancing integrated regional development to revitalize historically active economic exchanges in Central Asia and beyond along the Silk Route. The objectives of the Fourth Phase of the Central Asia Regional Links Program for Tajikistan are to enhance the efficiency of cross-border trade for participants of the regional economy and to improve the resilience and safety of regional connectivity infrastructure in Sughd region and Gorno-Badakhshan Autonomous region (GBAO). The project contributes to the Central Asia Regional Links Programs higher-level development objectives of increasing cross-border connectivity and enhancing integrated regional development to revitalize historically active economic exchanges in Central Asia and beyond along the Silk Route. The Project has five components. 1. Improve regional connections in Sughd and GBAO regions component will finance (i) rehabilitation of a 50.5 km long, Category I and III roads in Sughd in four sections; (ii) construction of Khorog bridge and tunnels/galleries and bridges around Barsem Village in GBAO to enhance the resilience of the road connectivity from climate hazards such as mudslides and avalanches; (iii) construction supervision services for road construction and rehabilitation works; and (iv) preparation of feasibility studies, to be partially financed by Program for Asia Connectivity and Trade (PACT) Trust Fund, for improvement of regional road connectivity for Sughd, Khatlon and GBAO regions as the basis for potential lending operation. 2. Improve road asset preservation and road safety component will strengthen the road asset management system for long-term sustainability and climate resilience of the country’s road network, and to create the institutional foundation to systematically address road traffic safety issues, and comprises two sub-components. 2a Improve road asset preservation subcomponent will finance (i) supply and installation of weigh-in-motion (WIM) systems, (ii) installation and commission of software packages, and (iii) training on the installed systems. 2b Improve Road Safety subcomponent will: (i) Support the Department of State Automobile Inspection to increase use of 4-wheel vehicle safety belts; (ii) Retrofit or construct safety barriers along selected road sections; (iii) Support DSAI to develop a Road Safety Strategy and to establish a Road Safety Observatory. 3. Facilitate cross-border movement of goods component will finance: (i) Upgrade of the Customs information and communication technology (ICT) platform; (ii) Strengthening of institutional capacity and human resources in Customs Service; (iii) Support for the border inspection of cargo and passenger traffic through provision of technical equipment. 4. Support project implementation, coordination and management component will support project implementation, coordination and management including provision of goods, consultants’ services and training, operating costs and financial audit. 5. Contingent Emergency Response component will provide swift response in the event of an eligible crisis or emergency, by enabling Tajikistan to request the World Bank to reallocate project funds to support emergency response, and reconstruction, where needed.",-0.07970532
P156584,2017,0.0,0.0,0.0,"Modernization and Upgrade of Transmission Substations The project development objective is to improve the technical efficiency and reliability of the power transmission networks in Uzbekistan. The development objective of the Modernization and Upgrade of Transmission Substations Project for Uzbekistan is to improve the technical efficiency and reliability of the power transmission networks in Uzbekistan. The project comprises of two components. The first component, electricity transmission system upgrade will support rehabilitation, upgrade, and expansion of existing substations of 220 kV and higher voltage in Uzbekistan’s national grid. It consists of two sub-components: (i) rehabilitation and upgrade of transmission substations; and (ii) emergency outage management systems. The second component, institutional development and technical assistance will cover activities designed to support institutional development of the Uzbekenergo Joint Stock Company (UE), including but not limited to, corporate governance enhancement of the UE; International Financial Reporting Standards (IFRS) transition support and audits; key sector studies for further development of the energy sector; and capacity building and training. It consists of three sub-components: (i) UE international financial reporting standards (IFRS) transition support and corporate governance enhancement; (ii) key sector studies; and (iii) capacity development of sector entities.",-0.057813153
P172109,2020,0.0,0.0,0.0,"Afghanistan Gas Project (AGASP) The PDO is to facilitate a sustainable supply of gas through targeted investments in gas infrastructure and enhanced gas sector governance . The objective of Afghanistan Gas Project (AGASP) for Afghanistan is to facilitate a sustainable supply of gas through targeted investments in gas infrastructure and enhanced gas sector governance. The project has three components. (A) Sustaining Gas Supply component will support the sustained supply of commercial-quality natural gas for the Sheberghan and Mazar IPPs and other off-takers. Subcomponent A1 will provide support to the Ministry of Mines and Petroleum (MoMP) and Afghan Gas Enterprise (AGE) to ensure sustainable natural gas deliverability for off-takers by supporting gas infrastructure including completing construction of the Sheberghan-Mazar Pipeline (SMPL), optimization and Operation and Maintenance (O&M) of gas infrastructure and field facilities, and construction of a new amine plant. Subcomponent A2 supports the international competitive tender for the contract award for development of the Totimaidan gas block. (B) Strengthening Gas Sector Governance component will address institutional capacity gaps that persist in the management of Afghanistan’s hydrocarbon resources—ensuring predictability, transparency, and effectiveness. Subcomponent B2 will strengthen institutional capacity of the ministry to discharge its functions and responsibilities related to the development of sector policy, sector strategies to achieve short- to medium-term objectives, sector oversight, development of model contracts and regulations, assessment of contractual terms and conditions, financial modeling, and inter-institutional coordination. Subcomponent B2 will strengthen AOGRA’s capacity to discharge its functions and responsibilities as set out in the new Hydrocarbons Law. This subcomponent will finance technical assistance for, and building capacity of, Afghanistan Oil and Gas Regulatory Authority to carry out its mandate. (C) Project Management component will provide support for project management, in accordance with the World Bank’s fiduciary and other guidelines, including financing incremental operating costs (IOCs), equipment, training on fiduciary and project management issues and project audits, and engagement of technical advisers to support project performance monitoring and planning. This component will also finance the cost of recruiting a project management support firm (PMSF) to support the MoMP in the effective management and implementation of the project, as well as costs associated with project implementation staff.",-0.039728343
P174097,2022,1.0,0.5,0.5,"Wildlife Conservation Bond Operation To increase black rhino populations in target protected areas in South Africa. The development objective of the South African National Parks and the Eastern Cape Parks and Tourism Agency : Wildlife Conservation Bond Operation Project for South Africa is to increase black rhino populations in target protected areas in South Africa. The project comprises of three components. The first component, improved rhino conservation management consists of following sub-components: (i) improving Rhino conservation and natural resource management in the Addo Elephant National Park (AENP); and (ii) securing Rhino populations - great fish river nature reserve (GFRNR). The second component, national and regional enabling conditions to coordinate share security and research opportunities will support the creation of national and regional enabling conditions to help catalyze security and research efforts at AENP and GFRNR. The third component, project management and monitoring will support project management activities to ensure cost-efficient, timely, and quality delivery of project activities and results, including monitoring and evaluation, verification, and project reporting.",0.04410909
P159434,2017,0.0,0.0,0.0,"Chad Statistical Development To strengthen the capacity of the national statistics institute to collect, process, and disseminate data with improved quality, frequency, and timeliness. The development objective of the Statistical Development Project for Chad is to strengthen the capacity of the national statistics institute to collect, process, and disseminate data with improved quality, frequency, and timeliness. The project comprises of three components. The first component, strengthening institutional capacity and developing human resources (HR), will strengthen National Institute of Statistical, Economic, and Demographic Studies (INSEED’s) institutional framework and HR to create an enabling environment for high-quality data collection, processing, analysis, and dissemination. It consists of following sub-components: (i) institutional reform; (ii) development of human resources, (iii) workforce training for INSEED staff, (iv) recruitment and retention of qualified staff, and (v) drafting a new national strategy for the development of statistics (NSDS). The second component, data collection, processing, analysis, and dissemination will finance the implementation of a program of activities designed to improve the statistical infrastructure, the quality and timeliness of poverty and inequality statistics, national accounts statistics, and agriculture statistics produced by INSEED. It consists of following sub-components: (i) implementation of Chad household consumption and informal sector survey (ECOSIT 4), (ii) implementation of ECOSIT 5, and (iii) improving macroeconomic statistics. The third component, project management and improving of information technology (IT) infrastructure will support activities such as: (a) fostering the coordination of statistical operations supported by the project; (b) providing project management funding and support for the implementation of large projects (such as the ECOSIT surveys); and (c) strengthening the capacity of INSEED’s project implementation unit (PIU) to implement the project effectively. It consists of following sub-components: (i) project management, and (ii) improvements to IT infrastructure for data dissemination.",-0.44003564
P173927,2020,0.0,0.0,0.0,"GABON COVID-19 Strategic Preparedness and Response Project (SPRP) The Project Development Objective (PDO) is to prevent, detect and respond to the threat posed by COVID-19 and strengthen national systems for public health preparedness in Gabon. The objective of the COVID-19 (Coronavirus) Strategic Preparedness and Response Project for Gabon is to prevent, detect and respond to the threat posed by COVID-19 and strengthen national systems for public health preparedness. The project has three components. 1. Emergency COVID-19 Response component will provide immediate support to Gabon limiting local transmission through containment strategies in line with Gabon’s COVID-19 Preparedness and Response Plan (PRP). It will support ensuring the technical capacity and safety of the staff working on case detection and contact tracing as well as healthcare workers and laboratory personnel in line with the needs expressed in Gabon’s COVID-19 PRP and consistent with World Health Organization (WHO) guidelines in the Strategic Response Plan. This component will enable the country to ensure the safety of the mobilization of surge response capacity through ensuring well-equipped frontline health workers. The financing for this component will be complimentary to AFD’s (French Development Agency) investment, which will be focusing on establishing ICUs (Intensive Care Units) and training healthcare personnel. This component has two subcomponents. 1.1. Case Detection, Confirmation, Contact Tracing, Recording, Reporting subcomponent will ensure the personnel working on disease surveillance, case investigation and public health laboratories are equipped with the necessary personal protective equipment or PPE; gloves; eye protection; and gowns. 1.2. Health System Strengthening subcomponent will provide assistance in ensuring safe and optimal medical care during the transfer of COVID-19 patients, ensuring the protection of the front-line workers through the provision of the appropriate protective equipment and hygiene materials. Establishing dedicated and equipped teams and ambulances to transport suspected and confirmed cases is a key part of ensuring that severe and critical COVID-19 patients receive the clinical care they need and get to the isolation dedicated facilities decreasing the risk of further COVID-19 spreading. This component will support Gabon’s response by financing the procurement of medical ambulances with the necessary equipment to provide safe care for COVID-19 patients in line with Gabon’s COVID-19 PRP. Further, this component will support the Ministry of Health (MOH) in building the capacity of the healthcare personnel through promotion of trainings and courses. 2. Supporting National and Sub-national, Prevention and Preparedness - countries will prepare laboratory capacity to manage large-scale testing for COVID-19 — either domestically, or through arrangements with international reference laboratories. This component will finance the required laboratory equipment to set up two new COVID-19 diagnostic facilities in Gabon and strengthening the currently existing two. Further, the component will allow to procure for COVID-19 diagnostic tests, reagents and other related commodities to ensure adequate laboratory case confirmation for COVID-19 throughout the five designated laboratories in the country. 3. Project Implementation and Monitoring component will support the administrative and human resources needed to implement the Project and monitor and evaluate progress. It will finance staff and consultant costs associated with Project management, procurement, financial management (FM), environmental and social safeguards (E and S), monitoring and evaluation (M and E), reporting and stakeholder engagement; as well as operating and administrative costs. It will also support technical assistance to strengthen the Project’s emergency response and flexibility in the recruitment of additional short-term consultants.",-0.52580166
P158982,2017,0.19,0.0,0.19,"Trade and Logistics Services Competitiveness Project The proposed project aims to improve the efficiency of trade logistics services in Togo. The development objective of Trade and Logistic Services Competitiveness Project aims to improve the efficiency of trade logistics services in Togo. This project has three components. 1) The first component, Strengthening the Logistics Services and the Road Transport Sector, has the following three subcomponents: (i) Improving the Legal and Regulatory Framework for the Transport and Logistics Services Sector; (ii) Building Capacity of the Trade Logistics Services Sector; and (iii) Improving the Conditions to Modernize Trucks. 2) The second component, Improving Trade Facilitation, will provide support for the implementation of the World Trade Organizations (WTO) Trade Facilitation Agreement (TFA) for the improvement of the enabling environment to achieve higher-quality trade logistics services, including the necessary support to enhance the efficiency of customs administrations as well as other border and trade management agencies to improve overall trade facilitation. 3) The third component, Project Management, will provide support to the Project Coordination Unit (PCU) for the coordination and implementation of project activities, including procurement, financial management (FM), monitoring and evaluation (M and E), and reporting",-0.43143323
