id,fiscalyear,Climate change,Climate adaptation,Climate mitigation,text,pred_a,pred_m
P159238,2017,0.25,0.25,0.0,"Central Highlands Connectivity Improvement Project To improve the connectivity, safety and climate-resilience of the National Highway 19. The development objective of the Central Highlands Connectivity Improvement Project for Vietnam is to improve the connectivity, safety and climate-resilience of the National Highway 19. The proposed Project will be financed by an IDA credit of US 150 million dollars and counterparts’ funds of US 3.7 million dollars to finance the following components, and will build on the lessons and results from previous World Bank-financed transport projects while expanding into new areas of engagement to address road safety and climate change. The Project will finance the following  two components. The first component, Road improvements will support the physical improvement of three sections of NH19 including pavement rehabilitation, widening of the road with paved shoulders, widening of lanes and features for the safe sharing of the road by users, including through the addition of dedicated motorcycle lanes, and reinforcement of slopes, to improve road connectivity, safety and to ensure sustainability of road assets. The second component,  implementation support through the following interventions: The provision of technical support for Project implementation, including overall detailed engineering design, construction supervision, financial audits, environmental and social management, and monitoring and evaluation. The Bank will provide enhanced implementation support and technical assistance to both components of the project through Bank-executed activities funded from the Global Facility for Disaster Reduction and Recovery, and the Global Road Safety Program, as described below: a) Bank- executed activities related to road safety supported from the Global Road Safety Program (GRSF) and Bank-executed activities related to climate resilient activities with support from the Global Facility for Disaster Reduction and Recovery (GDFRR).",0.32094008,0.06965036
P176954,2024,0.06,0.05,0.01,"Strengthening Intergovernmental Transfers and Subnational Finance for Service Delivery in Indonesia (SINERGIS) Program To improve the equity, efficiency and accountability of district spending financed by intergovernmental transfers The development objective of the Strengthening Intergovernmental Transfers and Subnational Finance for Service Delivery in Indonesia (Sinergis) Program for Indonesia is to improve the equity, efficiency, and accountability of district spending financed by intergovernmental transfers. villages. It includes four pillars: (i) reducing vertical and horizontal disparities, (ii) harmonizing central and subnational government (SNG) spending, (iii) improving subnational spending quality, and (iv) strengthening local taxing powers. The results areas (RA) are: RA1: allocating the general allocation fund (DAU) more equitably and efficiently; RA2: strengthening the needs-based allocation of the specific allocation fund (DAK) Fisik and its performance-orientation; and RA 3: strengthening district monitoring and evaluation (M and E) and public financial management (PFM) systems for better decision-making and accountability.",0.12625217,0.06923832
P174300,2022,0.43,0.39,0.04,"Horn of Africa Initiative: Djibouti Regional Economic Corridor Project The PDO is to improve regional connectivity and resilience, enhance logistics efficiency, and to improve spatial accessibility for the population living in the territory of the Recipient, along the Djibouti- Addis Southern corridor. The development objective of the Regional Economic Corridor Project for Djibouti is to improve regional connectivity and enhance logistics efficiency in Djibouti along the Djibouti - Addis southern corridor. The project comprises of four components. The first component, improvement of infrastructure and introduction of intelligent transportation systems along the Djibouti-Addis southern corridor will improve the road corridor through output and performance-based road contract (OPBRC) which will include rehabilitation works for some sections, introduction of intelligent transport system, and the maintenance and operation of the corridor including axle load control and road safety. The second component, improvement of transit services along the Djibouti-Addis southern corridor will be designed and implemented in close coordination with the Ethiopian customs and will complement activities of other partners including the United Nations Conference on Trade and Development (UNCTAD), European Union (EU), Common Market for Eastern and Southern Africa (COMESA), and Trademark East Africa. The third component, institutional strengthening and capacity-building on road performance-based contract (PBCs) and project implementation support will finance the following activities: technical assistance in respect of the OPBRC; institutional strengthening and capacity-building on road PBCs and on public-private partnership (PPPs); maximizing the Djibouti-Addis southern corridor’s development impacts for local communities; and project management including performance monitoring and reporting. The fourth component, contingent emergency response component (CERC) will draw from the uncommitted resources under the project from other project components to cover emergency response.",0.23563392,0.1515618
P164047,2020,1.0,0.0,1.0,"Forest Ecosystem Improvement in the Upper Reaches of Yangtze River Basin Program To improve sustainable forest ecosystem management in support of  Large-Scale Greening Sichuan Program. The development objective of the Forest Ecosystem Improvement in the Upper Reaches of Yangtze River Basin Program for Results Project for China is to improve sustainable forest ecosystem management in support of large-scale greening Sichuan (LSGS) program. The program will be embedded in the LSGS and will seek to improve the quality and effectiveness of selected forestry operations in the LSGS (and subsequent renewals thereof) by establishing the required institutional capacity in program related areas, supporting innovative new planting techniques and forest management practices, mainstreaming international and national best practices into provincial operations, and improving the sustainability and efficiency of forest financial mechanisms. It will operate within the framework of the provincial 13th forestry five-year plan (FYP) and county-level plans. To avoid spreading program activities too thinly on the ground, its activities will focus on subprograms in the LSGS that aim at restoring forest ecosystems, improving the delivery of public goods and services, and increasing carbon capture. To provide focus for achieving the goals of the program, two LSGS related results areas (RAs) will be used: RA 1, promoting best practice for forest ecosystem management, and RA 2: strengthening institutional capacity in support of sustainability.",0.16239507,0.7537849
P156719,2018,1.0,0.0,1.0,"Haiti: Renewable Energy for All The Project Development Objective is to scale-up renewable energy investments in Haiti in order to expand and improve access to electricity for households, businesses and community services. The development objective of the Renewable Energy (RE) for All Project for Haiti is to scale-up renewable energy investments in Haiti in order to expand and improve access to electricity for households, businesses, and community services. The project comprises of two components. The first component, grid-connected distributed RE will initiate the scaling up of on-grid RE investments in Haiti, by demonstrating the feasibility and benefits of injecting solar photovoltaic (PV) generation into electricity of Haiti (EDH) grids and developing a supportive policy and regulatory environment for private sector-driven RE investments. It consists of following sub-components: (i) demonstration pilot solar PV investments; and (ii) technical assistance and enabling framework for RE scale up. The second component, off-grid distributed RE will extend access to clean and modern energy services to households, communities, and enterprises that are not served by EDH by deploying a wide range of off-grid electrification options. It consists of following sub-components: (i) RE municipal grids; (ii) RE for productive and community use; (iii) distributed systems; and (iv) capacity building and technical assistance.",-0.0451018,1.003063
P180334,2023,0.36,0.17,0.2,"Lebanon: Green Agri-food transformation for economic recovery (GATE) The Project Development Objective (PDO) is to improve the resilience of farmers and Small and Medium Enterprises (SMEs) in the Lebanese agri-food sector. The development objective of the Green Agri-Food Transformation for Economic Recovery (GATE) Project for Lebanon is to improve the resilience of farmers and small and medium enterprises (SMEs) in the Lebanese agri-food sector. The project comprises of five components. The first component, climate smart investments in agri-food value chains objective is to provide access to finance to strengthen the resilience and improve the competitiveness of farmers and SMEs involved in agri-food value chains. It consists of following sub-components: (i) development of climate smart value chains; and (ii) support to agri-food SMEs. The second component, climate-smart infrastructure and services for agri-food sector development objective is to restore service delivery, build operational capacity and ensure the sustainability and climate-resilience of public infrastructure underpinning the agri-food sector. It consists of following sub-components: (i) improving rural community infrastructure for agriculture; and (ii) restoring access and protecting agency-managed infrastructure and services underpinning agriculture. The third component, improving the enabling environment and restoring support services for agri-food sector development objective is to restore and strengthen the capacity of sector institutions to support the recovery and transformation of the agri-food sector. It consists of following sub-components: (i) improving access to climate-smart agriculture practices, data, and knowledge; (ii) strengthening food safety; and (iii) improving agri-food export promotion and marketing systems. The fourth component, project and knowledge management will support the coordination and management of the implementation of the project. The fifth component, contingent emergency response component (CERC) will have zero funding allocation at the onset and will only be triggered in emergency circumstances; the project will support the preparation of a procedure manual governing the CERC operations.",0.34005326,0.15724935
P160567,2017,0.1,0.0,0.1,"Citizens' Charter Afghanistan Project The Project Development Objective for the Citizensâ?? Charter Afghanistan Project is to improve the delivery of core infrastructure, emergency support, and social services to participating communities through strengthened Community Development Councils (CDCs). The development objective for the Citizens’ Charter Afghanistan Project is to improve the delivery of core infrastructure and social services to participating communities through strengthened Community Development Councils (CDCs). These services are part of a minimum service standards package that the Government is committed to delivering to the citizens of Afghanistan. Citizens’ Charter Afghanistan Project will seek to address key limitations of line agency efforts and NSP to date, andrespond to financial constraints to national development investments. First, it will bringtogether under one umbrella program the rural and urban community level work. Second, consolidating service delivery under the Citizens’ Charter brings manyadvantages to Afghanistan’s development planning. This transition means that there will be increased emphasis on linking CDCs withlocal government institutions and ministries following a systems-based rather than project based approach. To provide improved services, the Citizens’ Charter will set a threshold of core infrastructure and services that the government will provide to all accessible communities over the next ten years. The Citizens’ Charter will be the first inter-ministerial program where Ministriesc ollaborate on a single program in both rural and urban areas. This project comprises four components. 1) First component, service standards grants will support two types ofgrants to CDCs: (i) rural areas service standards grants, and (ii) urban areas block grants. 2) Second component, institution building CCAP aims to build strong Afghan institutions fromnational to local levels, capable of planning and managing their own development. This component will support: capacity building; technical assistance; and community facilitation services. 3) Third component, monitoring and knowledge learning includeslearning activities from village to national levels, exchange visits across communities, especially for women, and support for thematic studies and evaluations. 4) Fourth component, will support the management and oversight of CCAP at the national, provincial and district levels in rural areas and the municipal management units in the four regional hub cities.",0.07311931,-0.0023781073
P177533,2023,1.0,0.0,1.0,"Chile Green Hydrogen Facility to Support a Green, Resilient and Inclusive Economic Development The Project Development Objective is to support the development of the green hydrogen industry in the Republic of Chile. The development objective of the Green Hydrogen Facility to Support Green, Resilient, and Inclusive Economic Development Project for Chile is to support the development of the green hydrogen industry in the Republic of Chile. The project comprises of two components. The first component, green hydrogen investment sub-loans and risk-mitigation facility will provide investment sub-loans on a preferential, but cost-covering basis to partially finance renewable green hydrogen production (including electrolysis systems, compression, and storage) subprojects in Chile and risk-mitigation reserve accounts. It consists of following sub-components: (i) green hydrogen investment sub-loans; and (ii) risk-mitigation reserve accounts. The second component, capacity building and project management will finance technical assistance, capacity-building activities, and overall project management activities to strengthen the enabling environment for green hydrogen through the development of necessary professional, financial, and technical skills.",0.08582938,0.88339525
P173943,2020,0.0,0.0,0.0,"Accelerating India's COVID-19 Social Protection Response Program (PMGKY) The Program Development Objective of the proposed operation is to strengthen the capability of state and national governments in India to provide coordinated and adequate social protection to the poor and vulnerable from the impacts of the COVID-19 pandemic The development objective of Accelerating India's COVID-19 Social Protection Response Program is to strengthen the capability of state and national governments in India to provide coordinated and adequate social protection to the poor and vulnerable from the impacts of the Coronavirus (COVID-19) pandemic. This operation aims to support India’s response and recovery from the devastating economic impacts of the Coronavirus Disease 2019 (COVID-19) pandemic, with emphasis on accelerating social assistance through adequate safety nets for the poor and vulnerable. India’s COVID-19 Social Protection Program (PMGKY) leverages its strong e-payments platforms to re-enforce social assistance by approving additional cash payments to the poor and vulnerable identified by national programs. . Instead of creating a new pipeline to deliver cash or in-kind assistance, India is uniquely placed to use its large-scale pre-existing safety nets -which target the poor and vulnerable in large numbers -to deliver disaster responsive social protection. he program will accelerate the delivery of social assistance announced under the PMGKY package at the state and national level through three pillars: (i) Accelerating the provision of adequate social protection for the poor and vulnerable by scaling up cash/in-kind assistance through pre-existing national platforms and programs (safety nets, e-payments architecture, self-help groups and disaster management protocols); (ii) Providing robust social protection for essential workers involved in Coronavirus (COVID-19) relief efforts; and (iii) Ensuring vulnerable groups have access to PMGKY benefits through reform measures aimed at expanding points of last-mile delivery. The third pillar is critical to ensure migrants and informal workers at risk of exclusion can avail of social protection at this time of crisis.",0.13766462,0.017545518
P158760,2018,0.48,0.34,0.14,"Jiangxi Integrated Rural and Urban Water Supply and Wastewater Management Project The objectives of the Project are: (a) to increase access to and improve operating efficiency of water supply services, and (b) to pilot provision of improved wastewater management, in selected counties in Jiangxi Province. The development objective of the Jiangxi Integrated Rural and Urban Water Supply and Wastewater Management Project for China are: (a) to increase access to and improve operating efficiency of water supply services, and (b) to pilot provision of improved wastewater management, in selected counties in Jiangxi Province. It has three components. First component, expansion, rehabilitation, and modernization of water supply system is to construct, upgrade, repair and/or rehabilitation of urban and rural water supply infrastructure including water intake works, water treatment works and water distribution works such as pump stations, transmission and distribution pipelines and control valves; and (ii) installation and/or replacement of urban and rural household water service connections and corresponding water meters; Second component, demonstration of rural wastewater management is to design, construction and trial operation of wastewater management system in Zhajin town in Xiushui County, such a system to comprise a treatment plant, sewerage pipelines, household sewer connections as well as related public outreach and system management, operation and maintenance; Third component, public engagement and project management is to implement of a program to integrate public and community participation into the Project, such a program to include such activities as: (i) public dissemination, mobilization, and training (including media outreach); (ii) establishment of community participation mechanisms; (iii) promotion of women’s participation in Project activities through inter alia gender-sensitive needs assessment; (iv) participatory design for household sewers connections; (v) participatory management of local water supply systems; (vi) participatory monitoring of water quality; (vii) public participation in water supply and wastewater management system operation & maintenance; and (viii) behavioral change campaigns.",0.28949133,0.42054197
