iati_identifier,text,Climate change,Climate mitigation,Climate adaptation
44000-P147212,"Mexico Social Protection System Project The proposed Project Development Objectives are to support the Government's effort to: (i) increase access of PROSPERA beneficiaries to social and productive programs, and (ii) develop instruments for an integrated social protection system.",0.0,0.0,0.0
44000-P106261,MX Sustainable Rural Development The project development objective is to promote the adoption of environmentally sustainable technologies in agri-businesses.,0.5,0.5,0.0
44000-P115067,"Support to Oportunidades Project The proposed project would support Mexico's conditional cash transfer (CCT) program, Oportunidades, which serves slightly more than 5 million poor families.  About 70 percent of these families are in rural areas, 16 percent live in semi-urban areas, with the remaining 14 percent in urban areas.  The principal Project Development Objectives are: -Increase capacities in health, nutrition and education of poor families through human capital investment by promoting regular health check-ups, improving health status, and raising school enrollment and attendance rates. -Build sustainable connections between Oportunidades and other social lprograms of the Government of Mexico in order to improve health and educaiton outcomes for Program participants.",0.0,0.0,0.0
44000-P115347,"School Based Management (APL II) The long-term development objective (PDO) of this Adaptable Program Lending is to improve the quality of education as measured by coverage, social participation, and educational outcomes. Consistent with its development objective, the PDO for Phase II (the Project) is to strengthen PEC by increasing overall coverage and social participation in Eligible Schools while putting greater emphasis on public marginalized schools and on the indigenous population, as well as a reorientation of the School Grants to improve public schools' internal efficiency and learning outcomes.",0.0,0.0,0.0
44000-P123505,Fiscal Risk Management Development Policy Loan The overall Program Development Objective is to support Mexico's fiscal risk management policies so as to foster the efficient and effective implementation of public expenditure programs. This will be achieved by: (i) supporting Mexico's integrated risk management approach; (ii) promoting the institutionalization of risk management; and (iii) highlighting critical elements of Mexico's risk management framework.,0.33,0.0,0.33
44000-P106528,"MX Results-based Management and Budgeting The development objective of the project is to establish that federal departments and agencies in Mexico provide decision makers and the public with rigorous, timely, user-friendly information on the efficiency and effectiveness of government organizations and program expenditures.",0.0,0.0,0.0
44000-P120170,Strengthening Social Resilience to Climate Change The objective of this operation is to strengthen social resilience to climate change through policies that will directly and indirectly benefit the poor by improving: (a) adaptation planning oriented to the state level; (b) disaster risk reduction and territorialdevelopment actions oriented to the municipal level; and (c) sustainable community forest management at the community level. A multi-sectoral DPL to enhance climate change adaptation capacity is anticipated in the CPS.,1.0,0.22,0.78
44000-P101369,Compensatory Education The development objective of the Compensatory Education Project is to improve access to Early Childhood Education (ECD) services and learning outcomes of children in the most marginalized municipalities of Mexico.  This objective would be achieved through innovative interventions at the early childhood and basic education levels that strengthen the involvement of members of the school community and municipalities.,0.0,0.0,0.0
44000-P160570,Grain Storage and Information for Agricultural Competitiveness Improve access to grain storage and information for agricultural producers in Mexico,0.1,0.1,0.0
44000-P112258,Private Housing Finance Markets Strengthening Project a) strengthening the financial capacity of SHF to stabilize mortgage markets in the short term and to expand mortgage access to lower income groups over the medium term; and b) improving SHF's technical capacity to expand access to mortgages over the medium-term.,0.0,0.0,0.0
